Price,SP500,DE Ratio,Trailing P/E,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Forward P/E,PEG Ratio,Enterprise Value/EBITDA,Revenue,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Short Ratio,Short % of Float,Shares Short (prior 
-0.773847752,-0.581828018,-0.546383952,1.314615193,-0.09298784,-0.69199116,-0.984443192,-0.400523904,-0.288038617,-0.631165721,-0.331973067,0.310600957,-0.021479607,3.344367882,0.186019568,-0.754784363,1.89779071,1.015639633,0.244200799,-0.037929038,-0.31006666,0.200903104,-0.240833772,-0.306336101,0.849705129,-0.393183262,-0.00688599,-0.897421999,0.037378944,0.532311213
0.404360021,2.293526166,-0.412317912,-0.34985407,-0.079475533,1.112088735,1.122825517,1.662601609,0.11031311,2.986991368,5.519331347,-0.554081575,-0.107324976,-0.545243141,-0.110076108,10.46179723,-0.294428887,-0.784160578,4.032503797,-0.037928959,0.353334171,-0.05414859,5.384153829,1.534580248,-0.190932091,-0.514089032,-0.703903605,-0.48009218,-0.175248878,0.410650705
-0.086401778,1.888850578,5.575701139,-0.307337139,0.848680179,1.813440639,1.788815056,1.898777756,0.830791026,-0.642481754,0.418905279,-0.237453484,-0.022084152,-0.205386763,0.583411133,0.029154994,-0.390565044,-0.629100868,0.351900277,-0.037929044,0.282926064,0.065918541,-0.816955339,-0.146957156,0.860894777,-0.515701109,-3.718180091,-0.48009218,-0.61734633,-0.179314599
-0.635135869,-1.065491454,-0.572215282,-0.2738722,-0.167072558,-1.146179893,-1.441095269,-0.960710301,-0.259087572,8.366235472,-0.510089775,-0.384829468,-0.091002265,-0.422481332,-0.959403178,0.204689241,-0.246360808,-0.291292213,-0.400613751,-0.037929048,-0.240832022,-0.209872021,0.804631004,-0.346993133,-1.026798762,-0.356105493,0.505595128,-0.358625452,0.283690381,-0.363392237
-0.621433327,-1.254635664,-0.57241934,-0.275243714,-0.165674733,-1.143011134,-1.441095269,-0.92557666,-0.256522289,8.541901372,-0.505640565,-0.283508479,-0.088584086,-0.456079301,-0.959403178,0.261496441,-0.246360808,-0.291292213,-0.3608235,-0.037929042,-0.241614334,-0.241526083,0.854547294,-0.339402039,-1.027917727,-0.359329646,0.606251399,0.298923483,0.2689538,-0.395835039
-0.657903169,-1.212012782,-0.573391616,-0.327909848,-0.174527624,-1.140898628,-1.442021541,-0.902154232,-0.258171399,8.632472417,-0.516911897,-0.341077223,-0.091002265,-0.617607998,-0.971091165,0.288763897,-0.246360808,-0.291292213,-0.335790167,-0.037929037,-0.252957862,-0.232430088,0.905806555,-0.324168635,-1.084984929,-0.356911531,0.823257659,0.735253684,0.67526241,-0.327423044
-0.626703535,-0.73927116,-0.573379612,-0.269757658,-0.169402266,-1.148292399,-1.454989348,-0.935336005,-0.274845736,8.764991931,-0.513500836,-0.307687352,-0.080725003,-0.542658682,-0.967195169,0.222867545,-0.417357088,-0.440814076,-0.339118395,-0.037929037,-0.253740175,-0.243709122,0.928079011,-0.330150539,-1.12750559,-0.377868531,1.081933451,0.733557222,0.883679781,-0.25830577
-0.635135869,-0.753025752,-0.573871752,-0.258236942,-0.174527624,-1.155686169,-1.468883427,-0.988036467,-0.292985948,8.950754556,-0.512462687,-0.169522366,-0.07165683,-0.465124908,-0.967195169,0.142769393,-0.417357088,-0.440814076,-0.374857892,-0.037929044,-0.261954454,-0.249530558,0.935117307,-0.309559495,-1.137576272,-0.422200647,0.974242065,0.281619564,0.292111285,-0.416993389
-0.589812077,-0.657332352,-0.57460396,-0.133154874,-0.161015316,-1.165192444,-1.483703779,-1.060255619,-0.312958505,9.084172508,-0.50193289,0.118321353,-0.058356843,0.864579326,-0.912651229,0.043356794,-0.417357088,-0.440814076,-0.309980981,-0.037929031,-0.272601724,-0.280456941,0.946276756,-0.335035056,-1.129743519,-0.431873108,1.081933451,0.380353692,0.822628228,-0.341881249
-0.058153462,0.205622616,-0.062898767,-0.169911447,-0.062701634,-1.150404904,-1.471662243,-0.71477481,-0.060644646,5.193510803,-0.428965846,-0.006027134,-0.063797747,-0.301011751,-0.963299174,-0.246359925,-0.321220931,-0.701092876,-0.230513405,-0.037929039,-0.257651736,-0.337943628,-0.373357476,0.062563479,-0.302828567,-0.460084455,0.984524157,-0.446162926,-0.385771474,-0.411703801
-0.147747003,0.37316029,0.219781441,-0.260979969,-0.081805241,-1.148292399,-1.463325796,-0.687448644,-0.035541524,5.542617901,-0.459368781,-0.41821934,-0.081934093,-0.581425569,-0.971091165,-0.195233445,-0.458333156,-0.701092876,-0.182414609,-0.037929035,-0.234573523,-0.352497219,-0.383081437,-0.298814847,-0.302828567,-0.458472378,1.163107863,-0.276516658,-0.259457917,-0.37044502
0.181746421,1.630459949,0.13959869,-0.133429177,0.020235975,-1.146179893,-1.459620708,-0.705015465,0.018695877,6.108205627,-0.413245303,-0.04287113,-0.054125029,-0.205386763,-0.951611187,-0.107182285,-0.434693117,-0.518343932,-0.386583542,-0.03792905,-0.255304799,-0.388881199,-0.433090382,-0.337064362,-0.425914689,-0.502804493,1.006170667,-0.174728897,0.014221458,-0.197299196
-0.58433106,-1.102564789,-0.570846893,-0.064030574,0.005325843,0.420243108,0.161355222,0.555891897,-0.028028911,-0.625154747,0.389837106,0.179344221,-0.051102305,0.348979725,0.396403338,-0.370483656,-0.455181151,-0.208224511,-0.177186479,-0.03792905,-0.037430823,-0.236796166,-0.523106483,-0.199247776,-0.874619555,0.017090317,-0.756937554,0.035971768,-0.615241104,-0.232563111
-0.591076927,-1.212012782,-0.570846893,-0.099964238,-0.004924873,0.457211958,0.161355222,0.565651242,-0.02839538,-0.627571972,0.342230559,0.076871857,-0.054125029,0.267569262,0.341859397,-0.36309872,-0.455181151,-0.208224511,-0.177186479,-0.03792905,-0.037430823,-0.236796166,-0.523106483,-0.199247776,-0.907069533,0.017090317,-0.762349182,0.015614215,-0.621556782,-0.201178227
-0.555871935,-0.829769565,-0.571267013,-0.021239341,0.019770033,0.486787039,0.25954005,0.524661993,-0.036457697,-0.635850431,0.457020178,0.133289226,-0.05291594,0.421344581,0.552243167,-0.371335764,-0.455181151,-0.208224511,-0.230513405,-0.037929051,-0.052685913,-0.22879169,-0.518337112,-0.20748534,-0.889166097,0.017090317,-0.737455695,-0.315874592,-0.608925426,-0.225510328
-0.555450319,-0.622030311,-0.571267013,-0.025628185,0.021167858,0.486787039,0.25954005,0.524661993,-0.036457697,-0.635850431,0.449604828,0.120624102,-0.043847767,0.434266877,0.560035158,-0.371335764,-0.455181151,-0.208224511,-0.230513405,-0.037929051,-0.052685913,-0.22879169,-0.518337112,-0.20748534,-0.92273504,0.017090317,-0.413840374,-0.530307475,-0.661556075,-0.186720021
-0.338528544,0.587393104,0.177049316,-0.104901688,-0.054780627,0.044217088,0.329936719,-0.055043094,-0.111583827,-0.359901805,0.818147725,-0.474636709,-0.057147753,-0.263537094,0.018491751,-0.075938326,-0.36928901,-0.60694948,0.416729089,-0.037929043,0.292704968,-0.177854119,-0.183045658,-0.038436212,-0.907069533,-0.506028647,-0.50367339,-0.140799644,-0.469980513,0.132418412
-0.209092228,2.0800601,-0.152684243,-0.277986742,-0.124205928,-0.182877279,0.468877513,0.39779051,0.007152106,-0.347494813,0.20222875,0.015848989,-0.057147753,-0.865716076,-0.503571677,-0.217956325,0.104299767,-0.695555029,0.551614843,-0.037929041,0.000120167,-0.075978977,-0.238148106,-0.137645128,-0.60494905,-0.50441657,-0.433322233,-0.717596955,-0.61734633,-0.266769109
0.309707079,-0.804798421,-0.2448704,-0.426933151,-0.19922253,0.400174303,0.20766882,-1.233971959,-0.27337986,0.13851703,-0.285997897,-0.811989547,-0.079515913,-0.512937402,-0.456819728,1.182341149,-0.385049035,-0.108543268,-0.094582025,-0.037929034,-0.048774352,-0.476202749,2.400749829,0.407824833,-0.481862927,-0.501998455,-3.880528915,-0.751526209,-0.59629407,-0.489637054
0.891116461,1.592796417,-0.2779998,-0.350402675,-0.186642106,0.352642925,0.024266972,-1.267153731,-0.286755976,0.235633833,-0.154597894,-0.516086204,-0.055334119,-0.087793871,-0.277603924,1.310157348,-0.433905116,-0.651252255,-0.107129537,-0.037929035,-0.041733541,-0.399796392,2.842495509,-0.216439213,-0.280449272,-0.489907878,0.97911253,-0.547950687,-0.61734633,-0.475178849
0.933067319,2.016008682,-0.241989583,-0.335864628,-0.185244281,0.330461614,0.000183901,-1.278864945,-0.293535651,0.240767761,-0.136801054,-0.480393583,-0.061984112,-0.028351311,-0.258123946,1.293115188,-0.449665141,-0.690017183,-0.038118221,-0.037929031,-0.004573707,-0.588993084,2.901302324,-0.204261945,-0.280449272,-0.489907878,0.97911253,-0.649738448,-0.61734633,-0.475531488
2.998356556,-0.753025752,-0.566129555,-0.056624399,-0.122808103,-0.636009758,-1.242873069,-0.929480398,-0.261652854,-0.226997246,-0.565556593,-0.412462465,0.085524832,0.329596282,-0.355523839,-0.399739364,4.115226348,1.010101786,-0.396436476,-0.037929043,-0.270559889,-0.029043644,-0.098956589,-0.354445979,-1.12526766,-0.463308609,1.081933451,0.265672815,1.849978497,-0.324249291
2.639560774,-0.993647179,0.848279772,-0.095849697,-0.181982689,-0.753253827,-0.43979528,-0.98218086,-0.373792347,-0.442472479,-0.541530859,-1.186186382,-0.123043143,-0.154989809,-0.078908142,-0.658212123,0.190191908,0.766436527,-0.421617241,-0.037929053,-0.145781077,-0.287006057,-0.128869301,-0.209276115,0.883274072,-0.458472378,0.773470687,-0.819384716,0.287900833,-0.29145385
-0.366566053,-0.714122744,-0.577088665,-0.071162446,0.549079716,-0.386734082,-0.527791116,1.502548353,0.516910388,-0.570478415,-0.239429498,0.156316724,-0.07044774,-0.043858066,-0.449027737,-0.584646799,0.348580168,-0.71216857,-0.133270187,-0.037929047,-0.308741423,-0.235704646,-0.830846713,-0.295233298,0.740046583,0.002581625,-2.106056276,-1.015156509,-0.705765821,-0.49563192
-0.388490119,-0.66093332,-0.577088665,-0.084603283,0.408831288,-0.423702932,-0.591703881,1.262468468,0.41851348,-0.556531244,-0.248327918,0.081477357,-0.074075009,-0.039981377,-0.484091698,-0.584362763,-0.161256668,-0.125156809,-0.130133309,-0.037929047,-0.308502036,-0.210599701,-0.817325776,-0.303470862,0.722143147,-0.003060645,-2.095233021,-0.860439113,-0.697344917,-0.474120932
-0.409781761,-0.784254811,-0.577088665,-0.108741927,0.3664306,-0.423702932,-0.591703881,1.262468468,0.41851348,-0.556531244,-0.263306926,0.003183865,-0.078911368,-0.127852988,-0.515259664,-0.584362763,-0.161256668,-0.125156809,-0.130133309,-0.037929047,-0.308502036,-0.210599701,-0.817325776,-0.303470862,0.705358676,-0.003060645,-1.97671838,-0.598165982,-0.653135171,-0.410293245
0.160033163,-0.617189146,-0.576044368,-0.193775789,0.196361908,-0.383565323,-0.417564753,1.342495096,0.664230898,-0.028121714,-0.091419111,-0.164916867,-0.057752298,-0.470293826,-0.577595596,-0.036173286,-0.245572807,0.306795242,0.119771305,-0.037929037,-0.309885946,-0.188769313,-0.637293574,0.877724103,-0.280449272,3.16708864,-0.070743194,-0.581879941,-0.364719215,-0.158508889
0.279561488,-0.19509818,-0.576164402,-0.192404275,0.210806098,-0.361384013,-0.404596945,1.334687621,0.749068455,0.01294971,-0.052562677,-0.207517737,-0.058961388,-0.450910382,-0.565907609,0.034835714,-0.171500685,0.439703565,0.166824475,-0.037929036,-0.309893769,-0.210599701,-0.6234022,0.971560695,-0.246880329,3.16708864,-0.070743194,-0.547950687,-0.364719215,-0.175082929
0.292631604,0.334788384,-0.575564232,-0.199536147,0.237830712,-0.356102749,-0.401818129,1.512307698,0.816132269,0.047175896,-0.03016832,-0.155705868,-0.061379567,-0.432819168,-0.558115617,0.077441114,-0.307824909,0.112970604,0.103041289,-0.037929038,-0.309817103,-0.210599701,-0.633126162,-0.223244157,-0.202121739,-0.493132032,0.345952119,-0.581879941,-0.491032772,-0.254426739
0.478142937,0.700265511,-0.577364743,-0.175671805,0.251808961,-0.273715025,-0.318453653,1.22147922,0.6754082,0.033271508,0.152100984,-0.115407747,-0.060775023,-0.090378331,-0.398379792,0.159811553,-0.422873097,-0.71216857,0.264067693,-0.037929036,-0.310066659,-0.174215721,-0.600249911,-0.207127185,0.21189522,-0.494744109,0.340540491,-0.717596955,-0.59629407,-0.35387098
0.627184428,1.592796417,-0.577364743,-0.181432164,0.177258301,-0.095208291,-0.29807567,1.332735752,0.645540982,0.047389809,0.118731909,0.058449859,-0.052311395,-0.175665483,-0.425651762,0.287627753,0.094055751,-0.623563021,0.159505093,-0.037929036,-0.310066659,-0.145108538,-0.515049486,-0.236137734,0.25665381,-0.493132032,0.383833511,-0.344375165,-0.554189551,-0.309438447
0.710664528,1.917009046,-0.577364743,-0.14851583,0.206146682,-0.095208291,-0.29807567,1.332735752,0.645540982,0.047389809,0.168266447,0.185101095,-0.047475036,-0.082624953,-0.382795809,0.287627753,0.094055751,-0.623563021,0.159505093,-0.037929036,-0.310066659,-0.145108538,-0.515049486,-0.236137734,0.25665381,-0.493132032,0.383833511,-0.378304419,-0.533137292,-0.334123188
-0.416316819,-1.262132336,-0.535040734,0.154588741,0.163280053,1.417345814,1.535942811,3.249471091,0.18543924,-0.761332185,-0.439940564,1.141893618,-0.037802318,0.774123256,1.502866126,-0.490346848,-0.157316662,-0.213762357,-0.296387843,-0.037929043,-0.31006666,0.544731708,-0.659797599,-0.33971041,0.472614007,-0.363359839,0.447149552,-0.165907291,0.054220752,-0.281579954
-0.274442811,-0.736732392,-0.540154185,0.273636147,0.29187994,1.540927399,1.64894799,3.440754251,0.20101417,-0.754893384,-0.398266296,1.640438939,-0.014829614,1.226403607,2.106745465,-0.446321268,-0.157316662,-0.213762357,-0.311026607,-0.037929044,-0.31006666,0.389735956,-0.665678281,-0.337441141,0.467019184,-0.364165877,0.429832344,-0.352518186,-0.141565263,-0.274174531
-0.226378511,-0.633128676,-0.53612104,0.299420608,0.264389385,1.612752594,1.683220053,3.382198182,0.184339834,-0.749438586,-0.378541465,1.527604201,-0.017852338,1.376302238,2.328817222,-0.413941164,-0.157316662,-0.213762357,-0.293250965,-0.037929043,-0.31006666,0.511986127,-0.628773532,-0.337441141,0.535276033,0.357238549,0.308611889,-0.314856715,-0.095250292,-0.333770548
-0.191384328,-0.753143932,-0.535220785,0.291191525,0.227579997,1.708871605,1.628570007,3.374390706,0.172063125,-0.746187098,-0.363562458,1.486154706,-0.019665973,1.429283651,2.336609213,-0.385537564,0.078295725,0.755360833,-0.276520949,-0.037929041,-0.31006666,0.539274111,-0.594137707,-0.335212701,0.64269665,-0.453636147,0.441196762,-0.312481667,-0.259457917,-0.378555721
-0.190119478,0.16772272,-0.240909276,-0.117519616,-0.091590015,1.106807471,1.032050865,0.001561106,-0.172967373,-0.728261133,-0.353329275,-0.27199473,-0.081934093,-0.023182393,0.528867193,-0.450865844,0.199647924,0.256954621,-0.154182707,-0.037929043,-0.250610925,0.498887894,-0.406233727,0.245222494,0.525205351,-0.482653532,0.611121864,-0.412233673,-0.09103984,-0.02909032
-0.355814828,-0.646942362,-0.2392288,-0.276340925,-0.120944337,1.270526665,1.065396655,0.048405962,-0.144199562,-0.722699378,-0.412355461,-0.617407193,-0.084956817,-0.351408705,0.178227576,-0.399739364,-0.037540465,-0.363284221,-0.155228333,-0.037929043,-0.250610925,0.437035129,-0.397898903,0.102676831,0.558774293,-0.482653532,0.611121864,-0.514021433,-0.217353397,-0.077401884
-0.331782678,-0.493454738,-0.250271933,-0.266466025,-0.129797228,1.165957632,0.999631346,0.005464844,-0.158675085,-0.719704587,-0.412800382,-0.60474207,-0.091002265,-0.394052281,0.100307662,-0.411100804,-0.346436972,-0.706630723,-0.145817699,-0.037929042,-0.250610925,0.484334302,-0.380766208,0.101602366,0.581153588,-0.482653532,0.611121864,-0.378304419,-0.027883061,0.059774747
-0.188433011,0.554452558,-0.274158711,-0.065676391,-0.108363913,0.713881405,0.978327091,-0.041380011,-0.226471837,-0.710506299,-0.355998801,-0.320352475,-0.055938664,-0.085209412,0.404195329,-0.487790524,-0.299944896,-0.739857804,-0.140589569,-0.037929042,-0.251002082,0.404289548,-0.342333408,-0.304903481,0.637101826,-0.07882826,0.665238138,-0.039011883,-0.196301138,-0.075991327
-0.217313753,0.333784552,-0.280160414,-0.087072008,-0.120478395,0.653674991,0.975548275,-0.029668797,-0.229953292,-0.705586285,-0.367715054,-0.382526719,-0.058961388,-0.207971222,0.279523466,-0.490630884,-0.447301138,-0.285754366,-0.116540171,-0.037929041,-0.251002082,0.364267171,-0.331683355,-0.303112707,0.312602048,0.009835971,0.584063726,0.130634385,-0.112092099,0.001941926
-0.168827836,-1.249676313,-0.504708127,0.685090315,-0.001663282,0.475168257,0.281770577,-0.238518778,-0.273746329,-0.772263174,-0.354219117,0.803389404,-0.057752298,2.915347663,1.678185934,-0.670141635,0.978193201,0.268030314,-0.188688365,-0.037929041,-0.31006666,1.464154862,-0.477635387,-0.341100051,1.842226865,-0.394795339,0.260989568,-0.390179658,-0.326825147,-0.314022756
-0.162292778,-1.03048415,-0.508009064,0.446172595,-0.015175589,0.710712646,0.530011462,0.134288197,-0.236366498,-0.763813584,-0.352884354,0.524756684,-0.07044774,1.946175481,1.354818288,-0.613902507,0.978193201,0.268030314,-0.164638967,-0.03792904,-0.31006666,1.36409892,-0.460178561,-0.336471257,1.873557878,-0.3939893,0.380586534,-0.603933955,-0.371034893,-0.297801355
-0.329252978,-1.357353726,-0.508009064,0.222341527,-0.061769751,0.710712646,0.530011462,0.134288197,-0.236366498,-0.763813584,-0.403605348,0.057298484,-0.086165906,1.160499899,0.80548289,-0.613902507,0.978193201,0.268030314,-0.164638967,-0.03792904,-0.31006666,1.36409892,-0.460178561,-0.336471257,1.797468275,-0.3939893,0.377339558,-0.568308239,-0.375245345,-0.288632737
